,Balanced Accuracy,Precision,Recall,F1-score,AUC
VIS01,60.9375,49.17763157894737,60.9375,54.429611650485434,42.391304347826086
VIS02,51.5625,48.32732371794872,51.5625,46.25297869358004,48.62068965517242
VIS03,53.75,56.50000000000001,53.75,42.52534287418008,51.56641604010025
VIS04,79.6875,77.49368686868686,79.6875,77.96325051759834,63.857142857142854
VIS05,59.375,56.36160714285714,59.375,52.51095118898623,52.42914979757084
VIS06,61.458333333333336,51.08556832694764,61.458333333333336,53.58315834813977,47.65625
VIS07,69.79166666666666,61.28472222222222,69.79166666666666,62.174814179531154,50.805152979066015
VIS08,70.83333333333334,62.499999999999986,70.83333333333334,63.54166666666667,50.989010989010985
Mean,63.42447916666667,57.84131748220124,63.42447916666667,56.622721764895964,51.03938958323618
SD,8.808158267906103,8.909126880689024,8.808158267906103,10.436346907204534,5.686019204377632
